"tall","all_regi","all_enty","all_enty_1","all_te","Val"
"2005","CHA","pegas","seliqfos","gasftrec",0
"2005","CHA","pegas","seliqfos","gasftcrec",0
"2005","CHA","pegas","seel","ngcc",0.00566293944311955
"2005","CHA","pegas","seel","ngccc",0
"2005","CHA","pegas","seel","ngt",0.000999342254668156
"2005","CHA","pegas","seel","gaschp",0
"2005","CHA","pegas","seh2","gash2",8.72918861445952E-7
"2005","CHA","pegas","seh2","gash2c",0
"2005","CHA","pegas","segafos","gastr",0.0321815921453659
"2005","CHA","pegas","sehe","gashp",0.00226762539096673
"2005","CHA","pecoal","seliqfos","coalftrec",0
"2005","CHA","pecoal","seliqfos","coalftcrec",0
"2005","CHA","pecoal","sesofos","coaltr",0.795689526520497
"2005","CHA","pecoal","seel","igcc",0
"2005","CHA","pecoal","seel","igccc",0
"2005","CHA","pecoal","seel","pc",0.235006497141173
"2005","CHA","pecoal","seel","pcc",0
"2005","CHA","pecoal","seel","pco",0
"2005","CHA","pecoal","seel","coalchp",0
"2005","CHA","pecoal","seh2","coalh2",3.74108083476837E-7
"2005","CHA","pecoal","seh2","coalh2c",0
"2005","CHA","pecoal","segafos","coalgas",0.0601532757451318
"2005","CHA","pecoal","sehe","coalhp",0.065199752736005
"2005","CHA","peur","seel","tnrs",0.0102613698736464
"2005","CHA","peur","seel","fnrs",0
"2005","CHA","pegeo","seel","geohdr",1.26806130720467E-5
"2005","CHA","pegeo","sehe","geohe",0.00291867434752658
"2005","CHA","pehyd","seel","hydro",0.044295803028943
"2005","CHA","pewin","seel","wind",0.000233818253248472
"2005","CHA","pewin","seel","windoff",0
"2005","CHA","pesol","seel","spv",1.11322918382497E-5
"2005","CHA","pesol","seel","csp",0
"2005","CHA","pesol","sehe","solhe",0
"2005","CHA","pebiolc","seliqbio","bioftrec",0
"2005","CHA","pebiolc","seliqbio","bioftcrec",0
"2005","CHA","pebiolc","seliqbio","bioethl",0
"2005","CHA","pebiolc","sesobio","biotr",0.215288088306652
"2005","CHA","pebiolc","sesobio","biotrmod",0.000543386828351555
"2005","CHA","pebiolc","seel","biochp",0
"2005","CHA","pebiolc","seel","bioigcc",0.00093571867222142
"2005","CHA","pebiolc","seel","bioigccc",0
"2005","CHA","pebiolc","seh2","bioh2",0
"2005","CHA","pebiolc","seh2","bioh2c",0
"2005","CHA","pebiolc","segabio","biogas",0.00848505520458514
"2005","CHA","pebiolc","segabio","biogasc",0
"2005","CHA","pebiolc","sehe","biohp",0.000376854649501635
"2005","CHA","pebios","seliqbio","bioeths",0.000865816264084259
"2005","CHA","pebioil","seliqbio","biodiesel",5.83397853507846E-5
"2005","CHA","seel","seh2","elh2",0
"2005","CHA","seel","seh2","elh2VRE",0
"2005","CHA","seh2","seliqbio","MeOH",0
"2005","CHA","seh2","seliqsyn","MeOH",0
"2005","CHA","seh2","seel","h2turb",0
"2005","CHA","seh2","seel","h2turbVRE",0
"2005","CHA","seh2","segabio","h22ch4",0
