Year ,Region ,Method                                                                     ,value               ,Market                                         ,score                   ,score_direct            ,total_score         ,total_score_direct
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')"           , 1.8867762          ,"market group for electricity, low voltage"    ,0.002342546556616728    ,1.2583587453378724e-06  ,1237561105.3165905  ,664787.5728943003
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')"                  , 1.8867762          ,"market group for electricity, low voltage"    ,0.01449868803288264     ,0.014357237347997107    ,7659618263.266979   ,7584890243.266577
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')"    , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.04232273871344048     ,0.040417805498203827    ,24167431936.63033   ,23079663393.70194
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')"                , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.03274845188980706     ,0.02120781468232625     ,18700254429.082695  ,12110237509.204988
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')"                 , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.009088995601655882    ,0.0                     ,5190063054.81819    ,0.0
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')"       , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.024970753907838626    ,8.110665452949487e-09   ,14258977887.987865  ,4631.409999766564
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')"        , 2.0393825999999997 ,"market group for electricity, low voltage"    ,1.544486168078466e-05   ,2.6194331907600974e-11  ,8819435.007935716   ,14.957674119076144
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')"                , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.025483959811430878    ,2.8629575053487572e-05  ,14552032381.188793  ,16348264.018653452
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'ionising radiation', 'IRP_HE')"            , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.037523669239997094    ,0.00031237902571092807  ,21427033078.13748   ,178376897.8991494
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'marine ecotoxicity', 'METPinf')"           , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.02148276357971926     ,2.029846400771032e-07   ,12267240788.430086  ,115909.73605134191
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')"            , 2.0393825999999997 ,"market group for electricity, low voltage"    ,8.074452517194644e-06   ,1.5107167495885014e-07  ,4610731.431066027   ,86266.0246739017
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')"                  , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.012926058235799958    ,0.0                     ,7381129910.749596   ,0.0
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')"     , 2.0393825999999997 ,"market group for electricity, low voltage"    ,-0.00023054622241317404 ,-0.0002267882872721121  ,-131648147.255844   ,-129502264.3450331
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')"               , 2.0393825999999997 ,"market group for electricity, low voltage"    ,1.2770995572364137e-09  ,0.0                     ,729.2584923387808   ,0.0
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')"    , 2.0393825999999997 ,"market group for electricity, low voltage"    ,5.0202011224217205e-05  ,4.972328505379314e-06   ,28666710.289188508  ,2839334.465899282
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')" , 2.0393825999999997 ,"market group for electricity, low voltage"    ,7.638732421122121e-05   ,4.6113809227015775e-06  ,43619234.3599385    ,2633223.6044042716
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')"     , 2.0393825999999997 ,"market group for electricity, low voltage"    ,8.672091032515588e-05   ,3.4555374645221147e-06  ,49519992.360519305  ,1973205.6340624648
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')"      , 2.0393825999999997 ,"market group for electricity, low voltage"    ,1.1884980971351359e-05  ,1.994889332771373e-08   ,6786646.550405416   ,11391.359263702732
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'urban land occupation', 'ULOP')"           , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.0024930839900028333   ,1.6487596708353363e-07  ,1423618590.6740985  ,94148.64995993274
2050 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'water depletion', 'WDP')"                  , 2.0393825999999997 ,"market group for electricity, low voltage"    ,0.012647510674322836    ,0.012504174331306064    ,7222071696.7079115  ,7140222756.417022
